,M_Poverty,F_Poverty,FIPS,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,M_With,M_Without,F_With,F_Without,Incidence_Rate,Avg_Ann_Incidence,Mortality_Rate,Avg_Ann_Deaths
1947,7.601431610468787,7.875798905370953,7435.3038216930945,3.4228254011289256,1.8977968510303929,15.949597761855244,123.35302733004609,395.73104717536,94.64610942077515,6.99823002200713,6.502274599623703,7.135702118973544,6.464825970740508,83.95347477122634,2.030371464349968,40.01582540187927,1.6012732333736692
1948,8.988446781341272,9.184989922999236,7435.658056501224,3.449052189926972,1.8996324955364212,19.492128875778942,123.72343639088317,413.7972442822517,118.44768263195154,8.103243040440601,7.720961257597905,8.306136012353699,7.728667265333581,58.55909781435282,3.2645618734429025,32.84432261013194,2.601085471493228
1949,9.273463690521062,9.39177099810553,7436.012287965176,3.4395296533197666,1.899333598646944,17.179963283775724,118.32906024860682,383.26450744622116,112.6699717278558,7.993755815035118,8.042480686474827,8.192500922904438,8.07595091118783,64.63219557512478,3.2069869315691437,31.93728709858666,2.528910049109028
1950,8.084388397852793,8.371779824848089,7436.366516085179,3.41168484653216,1.8977926454006384,17.179963283775724,123.35302733004609,395.73104717536,93.23168129907046,7.198799910441657,6.786044339946445,7.363508927208031,6.831346607712907,53.38955980288287,2.2857260339980003,36.82248352708664,1.9419572873081306
1951,9.133626047200837,9.337927006816509,7436.720740861418,3.4450287820617818,1.8993671728617354,18.38687992712209,126.93526465589073,393.5627920756203,108.61305792956051,8.091882651953698,8.013027177243647,8.321118020405056,8.048166244827277,44.205646720823665,3.2754139989949898,23.929104958892356,2.601085471493228
1952,7.136690713811671,6.886293397211744,7437.074962294148,3.4119226085869916,1.8970831208315626,17.179963283775724,107.80455073115421,395.73104717536,93.12315308677732,6.6814537209123115,6.060437083015631,6.8254386026775,5.855370013217744,83.7783424971867,2.3844355483650395,53.564167630432436,2.0325932988291364
1953,7.488285117537825,7.718941456068981,7437.429180383582,3.4204036797393313,1.8976118741734533,17.179963283775724,89.28597346082458,554.156563959816,93.63026954484587,6.9596475245419835,6.432986396357327,7.0569312785180225,6.22253090554261,71.11843369031425,2.030371464349968,38.53206192869092,1.6012732333736692
1954,8.148751002356684,8.274871812102058,7437.783395129952,3.4244133390465707,1.89819351108197,17.179963283775724,114.14945480050488,395.73104717536,96.81218890746716,7.295761025487159,6.816223502315764,7.462762403619817,6.9293404523924895,49.592465099081004,2.3844355483650395,28.99565912309958,1.9893814531258176
1955,7.67172855032982,7.783285303266149,7438.137606533457,3.4170560892365422,1.897365547036735,17.179963283775724,72.43022788066766,395.73104717536,96.25480731194651,6.8232687934631695,6.424327546149948,7.004850250048214,6.085960968298992,73.18202047389433,2.1036806154058665,43.676161594663654,1.7648633050645823
1956,5.134920655318948,5.750604021224329,7438.491814594353,3.4236358404186578,1.8978234783966397,17.179963283775724,123.35302733004609,395.73104717536,93.83008185495878,5.924273279308546,5.362994149581412,6.06193228220809,5.3057973265026295,19.803971121801187,1.0338945661629217,16.123403184939292,2.2576159455883498
1957,8.927627630009699,9.067766921862413,7438.846019312831,3.4314976093401985,1.8984914967120727,18.138870863992782,127.31328141029647,432.22638288382757,100.11603823020229,7.7639246138382205,7.4467382462088665,7.967518109406769,7.284229431872356,76.29062018724986,3.055717484071966,45.395669043129054,2.5015560691785206
1958,7.4017103478103685,7.577578847314449,6892.864233511463,3.43819450588291,1.8988401649552544,18.531652935182574,140.24564165442186,345.1926831151802,100.92478004371016,7.116404486312106,6.558726341257045,7.244912745128984,6.65347271920394,19.803971121801187,2.7038618900483935,66.18776558181513,2.174287071839939
1959,11.714768428282778,11.926796981314817,6893.223825901885,3.442455088815513,1.8992728636245397,17.768587753416337,129.7698631001691,397.14644546232523,108.06382974563128,9.394516509561674,9.789373768515542,9.643383706479886,9.93527560825748,19.803971121801187,2.7038618900483935,52.52617406049227,3.646544446832696
1960,7.645685912658369,7.86351719192341,6893.583414575073,3.4486847003925307,1.899557698391953,19.07465104530305,107.5757069771623,356.4170509904076,105.81053480520953,7.5259934046639305,7.045743705609482,7.680315882305964,7.003565053145696,19.803971121801187,2.7038618900483935,44.249074350585204,2.4721868838152576
1961,7.809056739041583,7.926526422570913,6893.942999531292,3.458288292346502,1.900158845524669,17.179963283775724,128.3802756795109,380.7012115884948,114.41249903879049,7.5943896547547896,7.115574786163309,7.682087305701713,7.232679733502457,19.803971121801187,2.7038618900483935,43.10350929866978,2.072230194482529
1962,3.949300172268436,4.931164908436274,6894.302580770823,3.4282804092610446,1.8983555594415282,17.179963283775724,123.35302733004609,395.73104717536,103.61714390918007,5.035660165180198,4.434127237137887,5.2414242013312276,4.587052308185865,19.803971121801187,2.7038618900483935,16.123403184939292,2.2576159455883498
